,Name,Classification,Block,City,Province
34,Nigi Nigi Nu Noos “e” Nu Nu Noos,Hotel,"Barangay Manggayad, Station 2, Malay",Boracay Island,Aklan
35,Red Coconut Beach Hotel,Hotel,"Station 2, Balabag",Boracay Island,Aklan
60,White Beach,Tourist Site,White Beach,Boracay,Aklan
61,Puka Shell Beach,Tourist Site,,Malay,Aklan
