,Name,Classification,Block,City,Province
63,Pintô Art Museum,Tourist Site,"1 Sierra Madre St, Grand Heights Subdivision",Antipolo,Rizal
73,Pintô Art Museum,Tourist Site,"1 Sierra Madre St, Grand Heights Subdivision",Antipolo,Rizal
