,Name,Classification,Block,City,Province
40,The Forest Lodge at Camp John Hay,Hotel,Loakan Road,Baguio,Benguet
43,Le Monet Hotel,Hotel,Ordonio Drive Camp John Hay,Baguio,Benguet
66,Our Lady of Atonement Cathedral,Tourist Site,2600 Steps To Our Lady Of Atonement Cathedral,Baguio,Benguet
71,Our Lady of Atonement Cathedral,Tourist Site,2600 Steps To Our Lady Of Atonement Cathedral,Baguio,Benguet
74,BenCab Museum,Tourist Site,Km. 6 Asin Rd,Tuba,Benguet
