,Name,Classification,Block,City,Province
25,Clark Marriott Hotel,Hotel,5398 Manuel A Roxas Highway,Mabalacat City,Pampanga
46,Prime Asia Hotel,Hotel,Narciso Ave.,Angeles City,Pampanga
