,Name,Classification,Block,City,Province
5,Gigiligan's Ayala,Restaurant,"Ground Floor, SM City Naga, Ninoy and Cory Ave",Lungsod ng Naga,Camarines Sur
15,Bob Marlin,Restaurant,Magsaysay Ave,Naga,Camarines Sur
16,Anselmo's,Restaurant,"Everlasting St, Brgy. Triangulo",Naga,Camarines Sur
17,Chef Doy’s Gourmet Restaurant,Restaurant,"Cereza Compound, Magsaysay Ave",Naga,Camarines Sur
18,GEEWAN,Restaurant,"P. Burgos St, Brgy. Sta.",Naga,Camarines Sur
19,Bigg’s Diner,Restaurant,"Zone 1 Pan-Philippine Hwy, Brgy. Santiago",Pili,Camarines Sur
